ACCOUNT,ACCOUNT_EXECUTIVE,ACCOUNT_LEVEL,CONTACT_EMAIL,COUNTRY,INDUSTRY,REGION
Abbot Industries,Zachery Whitney,Customer,abbot@email.com,France,Manufacturing,EMEA
Adabs Entertainment,Inga Lancaster,Customer,adabs@email.com,France,Entertainment and Media,EMEA
Adelu Motors,Mufutau Smith,Customer,adelu@email.com,Spain,Automotive,EMEA
Anaheim Home Solutions,Inga Lancaster,Customer,anaheim@email.com,France,Home Services,EMEA
Arcanmo,Caleb Combs,Prospect,arcanmo@email.com,Switzerland,Retail,EMEA
Audio Creative Partners,Teagan Frank,Customer,audio@email.com,United States,Entertainment and Media,NAM
Augusta Research,Riley Wiley,Customer,augusta@email.com,United States,Biotech and Pharmaceutical,NAM
Aurora Premier Home Design,Donovan Gardner,Prospect,aurora@email.com,United States,Home Services,NAM
Bailey & Barnes,Harrison Yang,Prospect,bailey@email.com,United Kingdom,Consulting,EMEA
Barrows Investment Group,Donovan Gardner,Customer,barrows@email.com,United States,Finance,NAM
Bayor Motors,Caryn Bright,Prospect,bayor@email.com,Japan,Automotive,APAC
Beck Entertainment,Cole Hartman,Customer,beck@email.com,Germany,Entertainment and Media,EMEA
Bernhard & Dooley,Teagan Frank,Customer,bernhard@email.com,United States,Consulting,NAM
Bingham-Wolf,Zachery Whitney,Prospect,bingham-wolf@email.com,France,Education,EMEA
Bode & Heilferty,Cole Hartman,Prospect,bode@email.com,Germany,Retail,EMEA
Bogu Media Inc.,Tyrone Hurst,Prospect,bogu@email.com,Germany,Entertainment and Media,EMEA
Booster BI Software,Leandra Ellison,Customer,booster@email.com,Germany,Technology,EMEA
Brookmas Inc.,Kai Rogers,Customer,brookmas@email.com,United States,Technology,NAM
Caftin Consulting,Inga Lancaster,Customer,caftin@email.com,France,Consulting,EMEA
Casper Health Solutions,Donovan Gardner,Customer,casper@email.com,United States,Healthcare,NAM
Cassinco,Cole Hartman,Prospect,cassinco@email.com,Germany,Technology,EMEA
Chaplin Media Group,Caleb Combs,Prospect,chaplin@email.com,Switzerland,Entertainment and Media,EMEA
Collins-Hampton Law Group,Gray Joyner,Customer,collins-hampton@email.com,United States,Law,NAM
Confroy Automotive,Barrett Griffin,Prospect,confroy@email.com,Portugal,Automotive,EMEA
Conn Restaurant Group,Chava Gutierrez,Prospect,conn@email.com,Austria,Hospitality,EMEA
Corwin Insurance Group,Cole Hartman,Customer,corwin@email.com,Germany,Insurance,EMEA
Crystal Retail Services,Kai Rogers,Customer,crystal@email.com,United States,Retail,NAM
Cudjoe Electronics,Megan Rosa,Customer,cudjoe@email.com,Sweden,Technology,EMEA
Curtim Financial Planning,Inga Lancaster,Prospect,curtim@email.com,France,Finance,EMEA
Dare Health Consulting,Teagan Frank,Prospect,dare@email.com,United States,Consulting,NAM
Darmori Advisory,Leslie Gentry,Customer,darmori@email.com,Argentina,Consulting,LATAM
Dashers Mobile,Inga Lancaster,Prospect,dashers@email.com,France,Technology,EMEA
Deckow's,Nasim Mayo,Customer,deckow's@email.com,Italy,Retail,EMEA
Deehan Distribution Services,Donovan Gardner,Customer,deehan@email.com,Mexico,Manufacturing,LATAM
Dibbert Investment Group,Dawn Boyer,Prospect,dibbert@email.com,Germany,Finance,EMEA
Discovero Research,Gray Joyner,Prospect,discovero@email.com,United States,Biotech and Pharmaceutical,NAM
Donnelly Travel Services,Inga Lancaster,Prospect,donnelly@email.com,France,Consulting,EMEA
Douglas Public Relations,Nasim Mayo,Customer,douglas@email.com,Italy,Entertainment and Media,EMEA
DressMe Collections,Wing Roberts,Prospect,dress@email.com,India,Retail,APAC
Dunn Premier Home Designs,Barrett Griffin,Prospect,dunn@email.com,Portugal,Home Services,EMEA
Dynamic Network Services,Leandra Ellison,Customer,dynamic@email.com,United States,Consulting,NAM
East Avenue Technology,Martha Dickerson,Customer,east@email.com,Australia,Technology,APAC
Edert Financial Group,Harrison Yang,Prospect,edert@email.com,United Kingdom,Finance,EMEA
Elevate Sportswear,Inga Lancaster,Customer,elevate@email.com,France,Retail,EMEA
Emmerich Telecommunications,Donovan Gardner,Customer,emmerich@email.com,United States,Technology,NAM
Excellerent Motors,Blake Malone,Prospect,excellerent@email.com,Spain,Automotive,EMEA
Explorers Advisory,Zachery Whitney,Prospect,explorers@email.com,France,Consulting,EMEA
Factor Graphics,Amanda Flores,Prospect,factor@email.com,Mexico,Entertainment and Media,LATAM
Fade Laboratories,Barrett Griffin,Prospect,fadel@email.com,Portugal,Biotech and Pharmaceutical,EMEA
FanTickets,Astra Santiago,Prospect,fantickets@email.com,Argentina,Entertainment and Media,LATAM
Farbey Banking Services,Ira Buchanan,Customer,farbey@email.com,Spain,Banking,EMEA
Fast Bank,Lester Brock,Customer,fast@email.com,United States,Banking,NAM
Feist Home Goods,Barrett Griffin,Prospect,feist@email.com,Germany,Retail,EMEA
Ferry Insurance Group,Cole Hartman,Customer,ferry@email.com,United States,Insurance,NAM
FirstChance Recruitment,Cole Hartman,Prospect,firstchance@email.com,Germany,Consulting,EMEA
Fishela Investments,Megan Rosa,Prospect,fishela@email.com,Sweden,Finance,EMEA
Flatley Financial Planning,Riley Wiley,Prospect,flatley@email.com,United States,Finance,NAM
Garfield Recruitment,Caleb Combs,Prospect,garfield@email.com,Switzerland,Consulting,EMEA
Gillette Entertainment,Hamish Blake,Customer,gillette@email.com,United States,Entertainment and Media,NAM
Glazer Home Sellers,Chava Gutierrez,Customer,glazer@email.com,Austria,Real Estate,EMEA
Glover Management Group,Harrison Yang,Prospect,glover@email.com,United Kingdom,Consulting,EMEA
Goldner Distribution,Dawn Boyer,Prospect,goldner@email.com,Germany,Manufacturing,EMEA
Greenfield Boutiques,Gray Joyner,Customer,greenfield@email.com,Argentina,Retail,LATAM
Hackett Investment Services,Caryn Bright,Customer,hackett@email.com,France,Finance,EMEA
Hannigan & Griff,Zachery Whitney,Customer,hannigan@email.com,France,Finance,EMEA
